task_id,task_type,task_title,task_description,task_rewardType,task_reward,task_deadline
1,Testnet,Mantle Testnet,"Mantle Testnet
Go to :  https://snapshot.org/#/bitdao.eth
Connect your wallet
Click 🔔
➖️ Submit your URL on crew3 for example :  https://snapshot.org/#/profile/youraddress
➖️ Done

↪️ Bridge : https://bridge.testnet.mantle.xyz/deposit
➖️ Bridge test $BIT From Goerli Network to Network Mantle Testnet
➖️ Copy Transaksi on Goerli Etherscan & Paste to Crew3.",Token,TBA,Update Dev
2,Testnet,Scroll Testnet,"Scroll Testnet launched on SyncSwap!

You can try :
https://staging.syncswap.xyz/

➖ Claim faucet
➖ Swap 5-10 times
➖ Add LP > Remove LP
✅ Done!

Good luck 🫡

*i recomend you  DONT SKIP SCROLL TESTNET 
**swap with high volume is better,do it every week
*** will update more dapps on scroll ecosystem",Token,TBA,Update Dev
3,Testnet,Zetachain,"New Testnet : Zetachain | Switch To Georli Network
🏷 Reward : Confirmed  
⚙️ Connect New Wallet : https://bit.ly/Zeta-Test
➖️ Verify Your Twitter
➖️ Click ""Request Assets"" on "" Get Zeta ""
➖️ Or Request Faucet On Discord 
👉 Command : zeta faucet drip 0xyouraddress
➖️ Swap Assets Goerli to BSC Testnet
➖️ Send Feedback to Discord #testnet-feedback 
👉 Discord : https://discord.com/invite/NKAUn7d5vX
➖️ Verify Your Wallet, Click "" Leaderboard "" & Confirm
➖️ Try Swap 1x / Day
➖️ Done

🖼 NFT Bonus : https://galaxy.eco/ZetaChain/campaign/GCcGZUtnHZ

➡️ Georli ETH Faucet
- https://goerlifaucet.com
- https://goerli-faucet.slock.it
- https://goerli-faucet.mudit.blog",Token,TBA,Update Dev
4,Testnet,Taiko,"Taiko Round 2  
🏷 Reward : Potential

▶️. Go to : https://chainid.network/
➖ Search Sepolia & Add Chain
➖ Search Taiko  & Add Chain

▶️. Get Faucet : https://sepolia-faucet.pk910.de/
➖ Enter your address
➖ Start Mining 
➖ Click + on Number of Workers > Increase to 20 (to speed up the progress)",Token,TBA,Update Dev
5,Testnet,Linea Voyage,"Linea Voyage - Testnet Bridge

➡️ Claim :  https://galxe.com/Linea/campaign/GCzWYUZXj4
➖️ Complete All Bridge task
➖️ Claim all 96 points (FCFS Based)
➖️ Use Secondary Wallet

📖 Details : https://blog.galxe.com/linea-voyage-public-testnet-quest-with-galxe-fd58e6958114

📌 Tweets:
https://twitter.com/LineaBuild/status/1653387199960809479",Token,TBA,Update Dev
6,Testnet,Cloud Base,"New Tesnet : Cloud Base
Testnet Base Network
🤖Join Discord : https://discord.gg/XRZmtj5YKd

🪂 Register : https://cloudbase.finance/swap

➖ Swap | Add / Remove Liquidity
➖ Use All Fiture
➖ Done
Send Feedback on Discord

✅Join Guild For Claim Role: https://guild.xyz/cloud-base-official",Token,TBA,Update Dev
7,Testnet,Elixir Protocol,"Elixir Protocol
➡️ Connect : https://dashboard.elixir.finance
➖️ Use Georli Network
➖️ Claim Faucet
➖️ Stake & Delegate
➖️ Wait Next Info

📌 Discord : https://discord.gg/GeKAZFjYT3",Token,TBA,Update Dev
8,Testnet,Viva Leva,"Viva Leva
➡️ Bridge gETH > ZkSync Testnet : https://goerli.portal.zksync.io/bridge
➖️ Go to : https://testnet.vivaleva.com
➖️ Claim Faucet VivaUSDC & VivaUSDT
➖️ Click Lend & Borrow
➖️ Stake
➖️ Farm ( Soon )
➖️ Done

📌 Join Guild : https://guild.xyz/vivaleva
➖️ Send Feedback or Bug to DM Twitter",Token,TBA,Update Dev
9,Testnet,Cashmerlabs,"Cashmerelabs
➡️ Connect : https://testnet.cashmere.exchange/swap
➖️ Swap From Georli > Base > Mumbai > Try All Chain
➖️ Click Show Quest
➖️ Complete All Quest 
➖️ Galxe Quest, Testnet Early Adopter NFT, Layer3 Quest, Crew3, Guild.xyz ( Join Discord )
➖️ Done",Token,TBA,Update Dev
10,Testnet,Fusion Finance,"Fusion Finance 
➡️ Add RPC : https://chainlist.org/?testnets=true&search=Mantle
➖️ Go to : https://fusionx.finance/faucet
➖️ Claim Faucet
➖️ Go to : https://fusionx.finance/swap
➖️ Swap > BIT > FSX
➖️ Swap > DAI > mUSDC > mUSDT > FSX
➖️ Add Liquidity BIT , DAI > FSX , mUSDC > FSX , mUSDT > FSX
➖️ Withdraw Liquidity After 1 Day ( Minimal 25% - 50% )
➖️ Done

📌 Send Feedback : https://discord.gg/fusionxfinance
➖️ Join Zealy : https://zealy.io/c/fusionxfinance
➖️ Donor Gitcoin : https://twitter.com/FusionX_Finance/status/1651254428450582528?s=20",Token,TBA,Update Dev
